Long_Entrada,Tiempo_ms,Tipo
3,0.000131,Random
3,0.000132,Random
4,0.00035,Random
4,0.000412,Random
4,0.000365,Random
4,0.000204,Random
4,0.000227,Random
4,0.000447,Random
4,0.000203,Random
4,0.000305,Random
4,0.000307,Random
4,0.000304,Random
4,0.000277,Random
4,0.000199,Random
4,0.000169,Random
4,0.0003,Random
4,0.000196,Random
4,0.000202,Random
4,0.000441,Random
4,0.000203,Random
4,0.000176,Random
4,0.000157,Random
4,0.000243,Random
4,0.000368,Random
4,0.000207,Random
4,0.000296,Random
4,0.000153,Random
4,0.000223,Random
4,0.000157,Random
4,0.00031,Random
4,0.00034,Random
4,0.000299,Random
4,0.000215,Random
4,0.00022,Random
4,0.000196,Random
4,0.000284,Random
4,0.000264,Random
4,0.000358,Random
4,0.000202,Random
4,0.000277,Random
4,0.000214,Random
4,0.000255,Random
5,0.000481,Random
5,0.000249,Random
5,0.000342,Random
5,0.000486,Random
5,0.000324,Random
5,0.000642,Random
5,0.000338,Random
5,0.000214,Random
5,0.000475,Random
5,0.000205,Random
5,0.000459,Random
5,0.000437,Random
5,0.000412,Random
5,0.000525,Random
5,0.00023,Random
5,0.000452,Random
5,0.000484,Random
5,0.000412,Random
5,0.000237,Random
5,0.00038,Random
5,0.000387,Random
5,0.00042,Random
5,0.000324,Random
5,0.000323,Random
5,0.000336,Random
5,0.000386,Random
5,0.000317,Random
5,0.000231,Random
5,0.000481,Random
5,0.000384,Random
5,0.000213,Random
5,0.0004,Random
5,0.000473,Random
5,0.000435,Random
5,0.000348,Random
5,0.000307,Random
5,0.000235,Random
5,0.00032,Random
5,0.000363,Random
5,0.000239,Random
6,0.000685,Random
6,0.00056,Random
6,0.00082,Random
6,0.000477,Random
6,0.001046,Random
6,0.000495,Random
6,0.001402,Random
6,0.000551,Random
6,0.00059,Random
6,0.000485,Random
6,0.000448,Random
6,0.000444,Random
6,0.000468,Random
6,0.000294,Random
6,0.000556,Random
6,0.001101,Random
6,0.00085,Random
6,0.000435,Random
6,0.000639,Random
6,0.000552,Random
6,0.000563,Random
6,0.000659,Random
6,0.000579,Random
6,0.000565,Random
6,0.000279,Random
6,0.000532,Random
6,0.000413,Random
6,0.000646,Random
6,0.000392,Random
6,0.000841,Random
6,0.000686,Random
6,0.00028,Random
6,0.000558,Random
6,0.00054,Random
6,0.000489,Random
6,0.000411,Random
6,0.000633,Random
6,0.000448,Random
6,0.000613,Random
6,0.000518,Random
7,0.001288,Random
7,0.000786,Random
7,0.000951,Random
