Long_Entrada,Tiempo_ms,Tipo
4,0.007617,Random
4,0.007617,Random
4,0.007672,Random
5,0.012306,Random
5,0.012289,Random
5,0.012066,Random
5,0.011827,Random
5,0.012128,Random
5,0.012061,Random
5,0.011874,Random
5,0.011851,Random
5,0.011828,Random
5,0.012003,Random
5,0.012044,Random
5,0.011722,Random
5,0.011937,Random
5,0.012103,Random
5,0.011602,Random
5,0.011963,Random
5,0.011786,Random
5,0.012127,Random
5,0.011779,Random
5,0.012067,Random
5,0.012059,Random
5,0.011764,Random
5,0.011799,Random
5,0.011789,Random
5,0.011839,Random
5,0.012076,Random
5,0.011828,Random
5,0.011742,Random
5,0.011624,Random
5,0.011877,Random
5,0.011739,Random
5,0.011881,Random
5,0.011756,Random
5,0.011825,Random
5,0.011726,Random
5,0.011604,Random
5,0.011839,Random
5,0.011665,Random
5,0.011634,Random
5,0.011892,Random
5,0.011671,Random
5,0.012074,Random
5,0.012098,Random
5,0.011673,Random
5,0.011709,Random
5,0.011764,Random
5,0.016846,Random
5,0.011915,Random
5,0.011704,Random
5,0.01174,Random
5,0.011936,Random
5,0.011647,Random
5,0.011621,Random
5,0.011672,Random
5,0.01198,Random
5,0.011902,Random
5,0.011875,Random
5,0.011715,Random
5,0.011765,Random
5,0.011908,Random
5,0.011739,Random
5,0.011869,Random
5,0.01181,Random
5,0.011657,Random
5,0.01184,Random
5,0.011828,Random
5,0.011819,Random
5,0.011785,Random
5,0.011628,Random
5,0.011975,Random
5,0.011703,Random
5,0.011797,Random
5,0.011799,Random
5,0.011793,Random
5,0.011784,Random
5,0.011675,Random
5,0.011767,Random
5,0.011709,Random
5,0.011559,Random
5,0.011927,Random
6,0.019808,Random
6,0.017254,Random
6,0.017049,Random
6,0.017229,Random
6,0.017322,Random
6,0.017052,Random
6,0.016998,Random
6,0.01742,Random
6,0.017302,Random
6,0.016703,Random
6,0.01714,Random
6,0.01718,Random
6,0.058398,Random
6,0.017245,Random
6,0.017107,Random
6,0.017077,Random
6,0.01702,Random
6,0.016906,Random
6,0.017083,Random
6,0.016989,Random
6,0.016859,Random
6,0.017066,Random
6,0.016571,Random
6,0.016933,Random
6,0.016832,Random
6,0.017184,Random
6,0.016881,Random
6,0.01731,Random
6,0.016935,Random
6,0.017156,Random
6,0.016989,Random
6,0.01706,Random
6,0.01668,Random
6,0.017109,Random
6,0.016963,Random
6,0.016859,Random
6,0.016663,Random
6,0.017244,Random
6,0.016869,Random
6,0.017093,Random
6,0.01709,Random
6,0.016939,Random
6,0.017057,Random
6,0.017181,Random
6,0.016968,Random
6,0.01682,Random
6,0.017526,Random
6,0.017102,Random
6,0.017328,Random
6,0.01691,Random
6,0.017049,Random
6,0.017267,Random
6,0.016674,Random
6,0.017163,Random
6,0.017153,Random
6,0.017234,Random
6,0.017235,Random
6,0.017149,Random
6,0.016921,Random
6,0.016797,Random
6,0.016921,Random
6,0.017219,Random
6,0.01703,Random
6,0.017378,Random
6,0.017273,Random
6,0.016853,Random
6,0.016865,Random
6,0.0169,Random
6,0.016628,Random
6,0.017273,Random
6,0.0171,Random
6,0.017179,Random
6,0.017465,Random
6,0.016901,Random
6,0.017251,Random
6,0.017012,Random
6,0.017024,Random
6,0.017361,Random
6,0.021769,Random
6,0.01696,Random
7,0.02703,Random
7,0.025278,Random
7,0.025282,Random
7,0.024749,Random
7,0.02443,Random
7,0.025,Random
7,0.024027,Random
7,0.025238,Random
7,0.024842,Random
7,0.024331,Random
7,0.023898,Random
7,0.024583,Random
7,0.023643,Random
7,0.024116,Random
7,0.024016,Random
7,0.025059,Random
7,0.024283,Random
7,0.024807,Random
7,0.024466,Random
7,0.024044,Random
7,0.024525,Random
7,0.024619,Random
7,0.024755,Random
7,0.024878,Random
7,0.024152,Random
7,0.073059,Random
7,0.024719,Random
7,0.024832,Random
7,0.02492,Random
7,0.02403,Random
7,0.024202,Random
7,0.024013,Random
7,0.024642,Random
7,0.024669,Random
7,0.024598,Random
7,0.024746,Random
7,0.025057,Random
7,0.024452,Random
7,0.024271,Random
7,0.024551,Random
7,0.02391,Random
7,0.024573,Random
7,0.024594,Random
7,0.025006,Random
7,0.024199,Random
7,0.024653,Random
7,0.02443,Random
7,0.024538,Random
7,0.024638,Random
7,0.024569,Random
7,0.024668,Random
7,0.024478,Random
7,0.024378,Random
7,0.025013,Random
7,0.024132,Random
7,0.024076,Random
7,0.025022,Random
7,0.023776,Random
7,0.02454,Random
7,0.024556,Random
7,0.02421,Random
7,0.024211,Random
7,0.023828,Random
7,0.024772,Random
7,0.024694,Random
7,0.025253,Random
7,0.024094,Random
7,0.024251,Random
7,0.024769,Random
7,0.024658,Random
7,0.02465,Random
7,0.024677,Random
7,0.024688,Random
7,0.024374,Random
7,0.024833,Random
7,0.024593,Random
7,0.024548,Random
7,0.024433,Random
7,0.024898,Random
7,0.024957,Random
8,0.033761,Random
8,0.033528,Random
8,0.033612,Random
8,0.032831,Random
8,0.03363,Random
8,0.032201,Random
8,0.032513,Random
8,0.033213,Random
8,0.032461,Random
8,0.032744,Random
8,0.032272,Random
8,0.033035,Random
8,0.032591,Random
8,0.033294,Random
8,0.032398,Random
8,0.033074,Random
8,0.032303,Random
8,0.033473,Random
8,0.032838,Random
8,0.033229,Random
8,0.032348,Random
8,0.033035,Random
8,0.033534,Random
8,0.033097,Random
8,0.032216,Random
8,0.032566,Random
8,0.032733,Random
8,0.033373,Random
8,0.032678,Random
8,0.032286,Random
8,0.032967,Random
8,0.032869,Random
8,0.03351,Random
8,0.033534,Random
8,0.033047,Random
8,0.03305,Random
8,0.032571,Random
8,0.033791,Random
8,0.032307,Random
8,0.032323,Random
8,0.032918,Random
8,0.033046,Random
8,0.032446,Random
8,0.032664,Random
8,0.032798,Random
8,0.033702,Random
8,0.032896,Random
8,0.032997,Random
8,0.032644,Random
8,0.032642,Random
8,0.032669,Random
8,0.03344,Random
8,0.032609,Random
8,0.032831,Random
8,0.032194,Random
8,0.033146,Random
8,0.032922,Random
8,0.033346,Random
8,0.033459,Random
8,0.032203,Random
8,0.032594,Random
8,0.033234,Random
8,0.032474,Random
8,0.032997,Random
8,0.032713,Random
8,0.03253,Random
8,0.032725,Random
8,0.033234,Random
8,0.032778,Random
8,0.032436,Random
8,0.035845,Random
8,0.033353,Random
8,0.03294,Random
8,0.033078,Random
8,0.033133,Random
8,0.033039,Random
8,0.033133,Random
8,0.033709,Random
8,0.032922,Random
8,0.032418,Random
9,0.043859,Random
9,0.042021,Random
9,0.042917,Random
9,0.043502,Random
9,0.043813,Random
9,0.043193,Random
9,0.043213,Random
9,0.043382,Random
9,0.042958,Random
9,0.043836,Random
9,0.042665,Random
9,0.042825,Random
9,0.042985,Random
9,0.043309,Random
9,0.042549,Random
9,0.043704,Random
9,0.043395,Random
9,0.042573,Random
9,0.041674,Random
9,0.0438,Random
9,0.042532,Random
9,0.04276,Random
9,0.042572,Random
9,0.042273,Random
9,0.042576,Random
9,0.041901,Random
9,0.042893,Random
9,0.041555,Random
9,0.043698,Random
9,0.042626,Random
9,0.042609,Random
9,0.042453,Random
9,0.042875,Random
9,0.042241,Random
9,0.042996,Random
9,0.042738,Random
9,0.043492,Random
9,0.042284,Random
9,0.043782,Random
9,0.043238,Random
9,0.043004,Random
9,0.042867,Random
9,0.044224,Random
9,0.042117,Random
9,0.043854,Random
9,0.041854,Random
9,0.04304,Random
9,0.042335,Random
9,0.043683,Random
9,0.043559,Random
9,0.043025,Random
9,0.042921,Random
9,0.043444,Random
9,0.042857,Random
9,0.044146,Random
9,0.04358,Random
9,0.04352,Random
9,0.042476,Random
9,0.042409,Random
9,0.043583,Random
9,0.043117,Random
9,0.043157,Random
9,0.042206,Random
9,0.042698,Random
9,0.042498,Random
9,0.042876,Random
9,0.042813,Random
9,0.042498,Random
9,0.042412,Random
9,0.042462,Random
9,0.041904,Random
9,0.043136,Random
9,0.042304,Random
9,0.043378,Random
9,0.043311,Random
9,0.042893,Random
9,0.042016,Random
9,0.043795,Random
9,0.043377,Random
9,0.043505,Random
10,0.05974,Random
10,0.054229,Random
10,0.052928,Random
10,0.053588,Random
10,0.052335,Random
10,0.053961,Random
10,0.05464,Random
10,0.053682,Random
10,0.054534,Random
10,0.053915,Random
10,0.05396,Random
10,0.053692,Random
10,0.053604,Random
10,0.05412,Random
10,0.052618,Random
10,0.054418,Random
10,0.052565,Random
10,0.054066,Random
10,0.053909,Random
10,0.054423,Random
10,0.054438,Random
10,0.053182,Random
10,0.05444,Random
10,0.053827,Random
10,0.052623,Random
10,0.054117,Random
10,0.053463,Random
10,0.054078,Random
10,0.054394,Random
10,0.05392,Random
10,0.053644,Random
10,0.054942,Random
10,0.052514,Random
10,0.053915,Random
10,0.053529,Random
10,0.053601,Random
10,0.053874,Random
10,0.053176,Random
10,0.053509,Random
10,0.055182,Random
10,0.052907,Random
10,0.054074,Random
10,0.054281,Random
10,0.053802,Random
10,0.054588,Random
10,0.053806,Random
10,0.054039,Random
10,0.054411,Random
10,0.052331,Random
10,0.053665,Random
10,0.054902,Random
10,0.054479,Random
10,0.051775,Random
10,0.054923,Random
10,0.054459,Random
10,0.052788,Random
10,0.054606,Random
10,0.052564,Random
10,0.054199,Random
10,0.055248,Random
10,0.054975,Random
10,0.054374,Random
10,0.053811,Random
10,0.055221,Random
10,0.053171,Random
10,0.054343,Random
10,0.054765,Random
10,0.054318,Random
10,0.054095,Random
10,0.054363,Random
10,0.053584,Random
10,0.056772,Random
10,0.054304,Random
10,0.054231,Random
10,0.054304,Random
10,0.054712,Random
10,0.05381,Random
10,0.053359,Random
10,0.052362,Random
10,0.054586,Random
11,0.071589,Random
11,0.069719,Random
11,0.070262,Random
11,0.068396,Random
11,0.069426,Random
11,0.069588,Random
11,0.067196,Random
11,0.068365,Random
11,0.068851,Random
11,0.069677,Random
11,0.067104,Random
11,0.069147,Random
11,0.068222,Random
11,0.068842,Random
11,0.068953,Random
11,0.068691,Random
11,0.07019,Random
11,0.067879,Random
11,0.070501,Random
11,0.068504,Random
11,0.068988,Random
11,0.068344,Random
11,0.069156,Random
11,0.067108,Random
11,0.068776,Random
11,0.0686,Random
11,0.068129,Random
11,0.067643,Random
11,0.068949,Random
11,0.069243,Random
11,0.069238,Random
11,0.068483,Random
11,0.087979,Random
11,0.086986,Random
11,0.069085,Random
11,0.069439,Random
11,0.078461,Random
11,0.10119,Random
11,0.068977,Random
11,0.06906,Random
11,0.068391,Random
11,0.069523,Random
11,0.06922,Random
11,0.068337,Random
11,0.068627,Random
11,0.068869,Random
11,0.069884,Random
11,0.071418,Random
11,0.069271,Random
11,0.068919,Random
11,0.068469,Random
11,0.068075,Random
11,0.068223,Random
11,0.067438,Random
11,0.070209,Random
11,0.069448,Random
11,0.069158,Random
11,0.069737,Random
11,0.070639,Random
11,0.067236,Random
11,0.068189,Random
11,0.06768,Random
11,0.070485,Random
11,0.067318,Random
11,0.068908,Random
11,0.069114,Random
11,0.069353,Random
11,0.070615,Random
11,0.068204,Random
11,0.069076,Random
11,0.06892,Random
11,0.069403,Random
11,0.069425,Random
11,0.068549,Random
11,0.068555,Random
11,0.069799,Random
11,0.067784,Random
11,0.069217,Random
11,0.070558,Random
11,0.068328,Random
12,0.085812,Random
12,0.084433,Random
12,0.086683,Random
12,0.084695,Random
12,0.086432,Random
12,0.085551,Random
12,0.084764,Random
12,0.085964,Random
12,0.084714,Random
12,0.085239,Random
12,0.08586,Random
12,0.085356,Random
12,0.084508,Random
12,0.085472,Random
12,0.084513,Random
12,0.084019,Random
12,0.084839,Random
12,0.085907,Random
12,0.086328,Random
12,0.086763,Random
12,0.085346,Random
12,0.084251,Random
12,0.086524,Random
12,0.0865,Random
12,0.085069,Random
12,0.083841,Random
12,0.086654,Random
12,0.084445,Random
12,0.085578,Random
12,0.08416,Random
12,0.085653,Random
12,0.08349,Random
12,0.084591,Random
12,0.08623,Random
12,0.083868,Random
12,0.085492,Random
12,0.083295,Random
12,0.081977,Random
12,0.083744,Random
12,0.085391,Random
12,0.084255,Random
12,0.084519,Random
12,0.085726,Random
12,0.083654,Random
12,0.08299,Random
12,0.084086,Random
12,0.084939,Random
12,0.084555,Random
12,0.083061,Random
12,0.085218,Random
12,0.083854,Random
12,0.087008,Random
12,0.086031,Random
12,0.086464,Random
12,0.084821,Random
12,0.085108,Random
12,0.08544,Random
12,0.085147,Random
12,0.085343,Random
12,0.085381,Random
12,0.085446,Random
12,0.085204,Random
12,0.086479,Random
12,0.085292,Random
12,0.089025,Random
12,0.08629,Random
12,0.084781,Random
12,0.085211,Random
12,0.083702,Random
12,0.085011,Random
12,0.084766,Random
12,0.085475,Random
12,0.086275,Random
12,0.085629,Random
12,0.084767,Random
12,0.085551,Random
12,0.084216,Random
12,0.084832,Random
12,0.085561,Random
12,0.084866,Random
13,0.104792,Random
13,0.104341,Random
13,0.104675,Random
13,0.104743,Random
13,0.103882,Random
13,0.103078,Random
13,0.104711,Random
13,0.103739,Random
13,0.104327,Random
13,0.104506,Random
13,0.102176,Random
13,0.104531,Random
13,0.104731,Random
13,0.104188,Random
13,0.103661,Random
13,0.103028,Random
13,0.104614,Random
13,0.101061,Random
13,0.10353,Random
13,0.10312,Random
13,0.103602,Random
13,0.104159,Random
13,0.105995,Random
13,0.103432,Random
13,0.102953,Random
13,0.102797,Random
13,0.10519,Random
13,0.102941,Random
13,0.103857,Random
13,0.104849,Random
13,0.101675,Random
13,0.103229,Random
13,0.102267,Random
13,0.104623,Random
13,0.102307,Random
13,0.102507,Random
13,0.100413,Random
13,0.104101,Random
13,0.103078,Random
13,0.103017,Random
13,0.105401,Random
13,0.103625,Random
13,0.103371,Random
13,0.103409,Random
13,0.103271,Random
13,0.104148,Random
13,0.102241,Random
13,0.104384,Random
13,0.103985,Random
13,0.104456,Random
13,0.103588,Random
13,0.102701,Random
13,0.102363,Random
13,0.10427,Random
13,0.104128,Random
13,0.105261,Random
13,0.104043,Random
13,0.10065,Random
13,0.102278,Random
13,0.104285,Random
13,0.104493,Random
13,0.102907,Random
13,0.20682,Random
13,0.104244,Random
13,0.104112,Random
13,0.102013,Random
13,0.10468,Random
13,0.103214,Random
13,0.103359,Random
13,0.103529,Random
13,0.103837,Random
13,0.102837,Random
13,0.167463,Random
13,0.102531,Random
13,0.102685,Random
13,0.103397,Random
13,0.105684,Random
13,0.100731,Random
13,0.103941,Random
13,0.103651,Random
14,0.133001,Random
14,0.123328,Random
14,0.125696,Random
14,0.123685,Random
14,0.144064,Random
14,0.145261,Random
14,0.186239,Random
14,0.188648,Random
14,0.143457,Random
14,0.167911,Random
14,0.120592,Random
14,0.121271,Random
14,0.123903,Random
14,0.152796,Random
14,0.121912,Random
14,0.124657,Random
14,0.12333,Random
14,0.119934,Random
14,0.12387,Random
14,0.123168,Random
14,0.122435,Random
14,0.121546,Random
14,0.122198,Random
14,0.124059,Random
14,0.123356,Random
14,0.120847,Random
14,0.126392,Random
14,0.123008,Random
14,0.123169,Random
14,0.123198,Random
14,0.123212,Random
14,0.125896,Random
14,0.12466,Random
14,0.119961,Random
14,0.122966,Random
14,0.124266,Random
14,0.122942,Random
14,0.123445,Random
14,0.123219,Random
14,0.12457,Random
14,0.123495,Random
14,0.12418,Random
14,0.123336,Random
14,0.122645,Random
14,0.12135,Random
14,0.143376,Random
14,0.122338,Random
14,0.122393,Random
14,0.122323,Random
14,0.121561,Random
14,0.123167,Random
14,0.120472,Random
14,0.123138,Random
14,0.122972,Random
14,0.122655,Random
14,0.124118,Random
14,0.121595,Random
14,0.124752,Random
14,0.124224,Random
14,0.123208,Random
14,0.125061,Random
14,0.122448,Random
14,0.12138,Random
14,0.123994,Random
14,0.121141,Random
14,0.124057,Random
14,0.121996,Random
14,0.124761,Random
14,0.121693,Random
14,0.122298,Random
14,0.121815,Random
14,0.125639,Random
14,0.121344,Random
14,0.120787,Random
14,0.123726,Random
14,0.123235,Random
14,0.156327,Random
14,0.121381,Random
14,0.121206,Random
14,0.124715,Random
15,0.152155,Random
15,0.147811,Random
15,0.147955,Random
15,0.148681,Random
15,0.148778,Random
15,0.149019,Random
15,0.147153,Random
15,0.147599,Random
15,0.149638,Random
15,0.150192,Random
15,0.147402,Random
15,0.144369,Random
15,0.148162,Random
15,0.148767,Random
15,0.145056,Random
15,0.151033,Random
15,0.148432,Random
15,0.149466,Random
15,0.14874,Random
15,0.148385,Random
15,0.150159,Random
15,0.147725,Random
15,0.148663,Random
15,0.182101,Random
15,0.147627,Random
15,0.151246,Random
15,0.149192,Random
15,0.150175,Random
15,0.149432,Random
15,0.15014,Random
15,0.148823,Random
15,0.1483,Random
15,0.146238,Random
15,0.149412,Random
15,0.148612,Random
15,0.148951,Random
15,0.146408,Random
15,0.147401,Random
15,0.147255,Random
15,0.147576,Random
15,0.149019,Random
15,0.147446,Random
15,0.150592,Random
15,0.148738,Random
15,0.145953,Random
15,0.146557,Random
15,0.148282,Random
15,0.148602,Random
15,0.148214,Random
15,0.170177,Random
15,0.145649,Random
15,0.149502,Random
15,0.150323,Random
15,0.149723,Random
15,0.147658,Random
15,0.146455,Random
15,0.149186,Random
15,0.148173,Random
15,0.148646,Random
15,0.148336,Random
15,0.147831,Random
15,0.147182,Random
15,0.149661,Random
15,0.150247,Random
15,0.149983,Random
15,0.148611,Random
15,0.149736,Random
15,0.150551,Random
15,0.14961,Random
15,0.146712,Random
15,0.150139,Random
15,0.15117,Random
15,0.148911,Random
15,0.143035,Random
15,0.148072,Random
15,0.17052,Random
15,0.149073,Random
15,0.146597,Random
15,0.144932,Random
15,0.15089,Random
16,0.17451,Random
16,0.172928,Random
16,0.17601,Random
16,0.178664,Random
16,0.176612,Random
16,0.174559,Random
16,0.176102,Random
16,0.175166,Random
16,0.175549,Random
16,0.176434,Random
16,0.17697,Random
16,0.171974,Random
16,0.171257,Random
16,0.176932,Random
16,0.170277,Random
16,0.174683,Random
16,0.174763,Random
16,0.174868,Random
16,0.174123,Random
16,0.177336,Random
16,0.175178,Random
16,0.176256,Random
16,0.173093,Random
16,0.171967,Random
16,0.177505,Random
16,0.176186,Random
16,0.176376,Random
16,0.176416,Random
16,0.169789,Random
16,0.173581,Random
16,0.176806,Random
16,0.178152,Random
16,0.177496,Random
16,0.177162,Random
16,0.174556,Random
16,0.172341,Random
16,0.171473,Random
16,0.176705,Random
16,0.179029,Random
16,0.17532,Random
16,0.175969,Random
16,0.176798,Random
16,0.174247,Random
16,0.175021,Random
16,0.173241,Random
16,0.173417,Random
16,0.174081,Random
16,0.173819,Random
16,0.177843,Random
16,0.176281,Random
16,0.175177,Random
16,0.176632,Random
16,0.176798,Random
16,0.17585,Random
16,0.173907,Random
16,0.179093,Random
16,0.17747,Random
16,0.175727,Random
16,0.176035,Random
16,0.175096,Random
16,0.177478,Random
16,0.17247,Random
16,0.176614,Random
16,0.178367,Random
16,0.175242,Random
16,0.17436,Random
16,0.175047,Random
16,0.17356,Random
16,0.172793,Random
16,0.173859,Random
16,0.177226,Random
16,0.176085,Random
16,0.174111,Random
16,0.169362,Random
16,0.175285,Random
16,0.17695,Random
16,0.172061,Random
16,0.173057,Random
16,0.174458,Random
16,0.17608,Random
17,0.20737,Random
17,0.203719,Random
17,0.202338,Random
17,0.202835,Random
17,0.204883,Random
17,0.20648,Random
17,0.203498,Random
17,0.206693,Random
17,0.207966,Random
17,0.204978,Random
17,0.202135,Random
17,0.204712,Random
17,0.202361,Random
17,0.207056,Random
17,0.207129,Random
17,0.205541,Random
17,0.201359,Random
17,0.207065,Random
17,0.207079,Random
17,0.205128,Random
17,0.205592,Random
17,0.206522,Random
17,0.201555,Random
17,0.205298,Random
17,0.205138,Random
17,0.203903,Random
17,0.204351,Random
17,0.203206,Random
17,0.207642,Random
17,0.199666,Random
17,0.206176,Random
17,0.205541,Random
17,0.206268,Random
17,0.204711,Random
17,0.205366,Random
17,0.201068,Random
17,0.205669,Random
17,0.2043,Random
17,0.20407,Random
17,0.204333,Random
17,0.207839,Random
17,0.202908,Random
17,0.205237,Random
17,0.209745,Random
17,0.204263,Random
17,0.202368,Random
17,0.204198,Random
17,0.20774,Random
17,0.200914,Random
17,0.206468,Random
17,0.206975,Random
17,0.205154,Random
17,0.203256,Random
17,0.204661,Random
17,0.205259,Random
17,0.205532,Random
17,0.205451,Random
17,0.205436,Random
17,0.202571,Random
17,0.206354,Random
17,0.206834,Random
17,0.20474,Random
17,0.208999,Random
17,0.202699,Random
17,0.203633,Random
17,0.204771,Random
17,0.201391,Random
17,0.204764,Random
17,0.204534,Random
17,0.206733,Random
17,0.205428,Random
17,0.206344,Random
17,0.203167,Random
17,0.204583,Random
17,0.208888,Random
17,0.205412,Random
17,0.203812,Random
17,0.204946,Random
17,0.205392,Random
17,0.205247,Random
18,0.242769,Random
18,0.239588,Random
18,0.240365,Random
18,0.240223,Random
18,0.23215,Random
18,0.238212,Random
18,0.234396,Random
18,0.238041,Random
18,0.235619,Random
18,0.235801,Random
18,0.232777,Random
18,0.237859,Random
18,0.235439,Random
18,0.236054,Random
18,0.23522,Random
18,0.238543,Random
18,0.230475,Random
18,0.238527,Random
18,0.2683,Random
18,0.253935,Random
18,0.287377,Random
18,0.277469,Random
18,0.23848,Random
18,0.236467,Random
18,0.234499,Random
