Long_Entrada,Tiempo_ms,Tipo
36,3327.62,Random
36,1448.09,Random
36,2123.27,Random
36,3227.86,Random
36,6275.1,Random
36,2381.16,Random
36,3606.1,Random
36,10833.3,Random
1,0.000154,Creciente
1,9.1e-05,Creciente
1,6.6e-05,Creciente
1,6.6e-05,Creciente
1,6.7e-05,Creciente
1,6.4e-05,Creciente
1,6.6e-05,Creciente
1,6.6e-05,Creciente
1,6.5e-05,Creciente
1,6.5e-05,Creciente
6,0.005313,Creciente
6,0.004727,Creciente
6,0.004667,Creciente
6,0.004666,Creciente
6,0.004842,Creciente
6,0.004675,Creciente
6,0.004674,Creciente
6,0.004675,Creciente
6,0.004674,Creciente
6,0.004678,Creciente
11,0.263921,Creciente
11,0.263969,Creciente
11,0.265382,Creciente
11,0.265978,Creciente
11,0.266349,Creciente
11,0.273772,Creciente
11,0.266227,Creciente
11,0.265967,Creciente
11,0.271113,Creciente
11,0.257777,Creciente
16,12.1633,Creciente
16,12.1649,Creciente
16,12.218,Creciente
16,12.2917,Creciente
16,12.2992,Creciente
16,12.04,Creciente
16,12.0364,Creciente
16,12.365,Creciente
16,12.4214,Creciente
16,12.4157,Creciente
21,501.528,Creciente
21,490.028,Creciente
21,493.807,Creciente
21,485.157,Creciente
21,490.765,Creciente
21,492.364,Creciente
21,497.657,Creciente
21,489.989,Creciente
21,492.729,Creciente
21,501.054,Creciente
26,19536.8,Creciente
26,19570.2,Creciente
26,19485.3,Creciente
26,19806.1,Creciente
26,19264.5,Creciente
26,19048.2,Creciente
26,19670.8,Creciente
26,19490.2,Creciente
26,19579,Creciente
26,19588.4,Creciente
26,19804.7,Creciente
31,726766,Creciente
